name of product                                                                                                     , price    , how many in stock, description                                                                                                                                                                                                                                                                                                                         , type       , features
Eva Recipe Conditioner Coconut Scent 350 Ml                                                                         , LE 112.50,               180, "Hydrates and repairs damaged hair and is composed of balancing and natural ingredients such as avocado oil, coconut oil and shea butter, which moisturize, strengthen and revitalize damage with a refreshing coconut scent - free silicon - paraben - phthalate - colorants ."                                                    ,            , Eva Recipe; Hair Care
Eva Recipe Conditioner Mocha Scent 350 Ml                                                                           , LE 112.50,                59, "Enhance weak hair and is composed of thickening and natural ingredients such as Mary Almond Oil, Rose Ginseng Oil and Almond Oil that work to strengthen the hair follicle, reduces hair strengthening for healthier hair and full of refreshing mocha scent- free silicon - paraben - phthalate - colorants ."                    ,            , Eva Recipe; Hair Care
Eva Recipe Hydrating Blend Shampoo Berries Scent 350 Ml ( Special Offer 15 % )                                      , LE 102.00,                39, "Hydrates thirsty hair and formulated with natural, and well-balanced ingredients like Hyaluronic Acid, Jojoba Oil and Hibiscus Flower Extract that deeply hydrate, nourish, and restore moisture balance to dry, dehydrated hair with a fresh invigorating berries scent - free silicon - paraben - phthalate - colorants ."       ,            , Eva Recipe; Hair Care
Eva Recipe Strength Booster Blend Shampoo Mocha Scent 350 Ml ( Special Offer 15 % )                                 , LE 102.00,                39, "Enhance weak hair and is composed of thickening and natural ingredients such as Mary Almond Oil, Rose Ginseng Oil and Almond Oil that work to strengthen the hair follicle, reduces hair strengthening for healthier hair and full of refreshing mocha scent - free silicon - paraben - phthalate - colorants ."                   ,            , Eva Recipe; Hair Care
Eva Recipe Silk & Shine Blend Shampoo Marshmallow Scent 350 Ml ( Special Offer 15 % )                               , LE 102.00,                63, "Enhance hair's natural luster and radiance and infused with natural, and well-balanced ingredients such as Argan Oil, Chamomile Extract, and Marshmallow Root Extract that help promote shine, tame frizz, and provide a glossy finish with a sugary marshmallow scent - free silicon - paraben - phthalate - colorants ."         ,            , Eva Recipe; Hair Care
Eva Recipe Hydrating Blend Conditioner Berries Scent 350 Ml ( Special Offer 15 % )                                  , LE 106.25,                79, "Hydrates thirsty hair and formulated with natural, and well-balanced ingredients like Hyaluronic Acid, Jojoba Oil and Hibiscus Flower Extract that deeply hydrate, nourish, and restore moisture balance to dry, dehydrated hair with a fresh invigorating berries scent - free silicon - paraben - phthalate - colorants ."       ,            , Eva Recipe; Hair Care
Eva Recipe Silk & Shine Blend Conditioner Marshmallow Scent 350 Ml ( Special Offer 15 % )                           , LE 106.25,                83, "Enhance hair's natural luster and radiance and infused with natural, and well-balanced ingredients such as Argan Oil, Chamomile Extract, and Marshmallow Root Extract that help promote shine, tame frizz, and provide a glossy finish with a sugary marshmallow scent - free silicon - paraben - phthalate - colorants ."         ,            , Eva Recipe; Hair Care
Eva Recipe Strength Booster Blend Conditioner Mocha Scent 350 Ml ( Special Offer 15 % )                             , LE 106.25,                75, "Enhance weak hair and is composed of thickening and natural ingredients such as Mary Almond Oil, Rose Ginseng Oil and Almond Oil that work to strengthen the hair follicle, reduces hair strengthening for healthier hair and full of refreshing mocha scent- free silicon - paraben - phthalate - colorants ."                    ,            , Eva Recipe; Hair Care
Eva Recipe Nourishing Blend Conditioner Coconut Scent 350 Ml ( Special Offer 15 % )                                 , LE 106.25,                81, "Hydrates and repairs damaged hair and is composed of balancing and natural ingredients such as avocado oil, coconut oil and shea butter, which moisturize, strengthen and revitalize damage with a refreshing coconut scent - free silicon - paraben - phthalate - colorants ."                                                    ,            , Eva Recipe; Hair Care
Eva Recipe Nourishing Blend Shampoo Coconut Scent 350 Ml ( Special Offer 15 % )                                     , LE 102.00,                 0, "Hydrates and repairs damaged hair and is composed of balancing and natural ingredients such as avocado oil, coconut oil and shea butter, which moisturize, strengthen and revitalize damage with a refreshing coconut scent - free silicon - paraben - phthalate - colorants ."                                                    ,            , Eva Recipe; Hair Care
Eva Senses Hair Mist Golden Hour 100 Ml                                                                             , LE 108.00,                 0, "Light &amp; Non-greasy | Instant FreshnessUnlock the secret to smelling good all day.Eva Senses Hair Mist helps to soften and condition your hair with its hair-loving ingredients like Honey and Panthenol. Moreover, it is formulated with 0% alcohol to ensure not to dry out or damage your hair. Enjoy the convenient-size"   ,            , Hair Care; Skin Care Senses
Eva Smokers Cleansing ToothPaste With Charcoal 50 Gm                                                                , LE 40.50 ,                49, "Eva Smokers toothpaste eliminates teeth stains, whitens and helps harden teeth , protects against tooth decay and freshens mouth."                                                                                                                                                                                                 ,            , Eva Smokers; Oral Care
Eva Smokers E-Line ToothPaste With Menthol 50 Gm                                                                    , LE 45.00 ,                24, "This toothpaste efficiently removes surface stains and calms gum irritation caused by continuous exposure to heat subjected by e-cigarettes. Also, it ensures an instant and lasting fresh breath."                                                                                                                                ,            , Eva Smokers; Oral Care
Eva Smokers E-Line MouthWash With Menthol 250 Ml                                                                    , LE 99.00 ,                32, "This mouthwash cleanses deeply below gumline and in between teeth with greater reach than brushing. •Also, it promotes the remineralization of tooth enamel and repairs impaired gum health due to continuous heat emitted by e-cigarettes. •This formula combats germs causing bad breath and provides instant freshness. •Spec"  ,            , Eva Smokers; Oral Care
Eva Smokers Cleansing Tooth Powder With Charcoal 40 Gm                                                              , LE 45.00 ,                80, "Eva smokers tooth powder whitens and removes teeth stains, strengthens tooth enamel and freshens breath."                                                                                                                                                                                                                          ,            , Eva Smokers; Oral Care
Eva Smokers E-line Mouth Spray With Menthol 20 Ml                                                                   , LE 58.50 ,               100, "This lightweight mouth spray is convenient for on-the-go use several times throughout the day and helps eliminate bad breath instantly. Also, it contains gum regenerating ingredients to help optimize oral health against daily exposure of e-cigarettes heat."                                                                  ,            , Eva Smokers; Oral Care
Eva Smokers Cleansing Tooth Powder With Menthol 40 Gm                                                               , LE 45.00 ,                60, Eva smokers tooth powder helps to remove teeth stains and freshens mouth.                                                                                                                                                                                                                                                           ,            , Eva Smokers; Oral Care
Eva Smokers Cleansing Tooth Powder With Clove 40 Gm                                                                 , LE 45.00 ,                47, Eva smokers tooth powder helps to remove teeth stains and freshens mouth.                                                                                                                                                                                                                                                           ,            , Eva Smokers; Oral Care
Eva Smokers Cleansing Tooth Powder With Fluorine 40 Gm                                                              , LE 45.00 ,                70, Eva smokers tooth powder helps to remove teeth stains and freshens mouth.                                                                                                                                                                                                                                                           ,            , Eva Smokers; Oral Care
Eva Smokers Cleansing Tooth Powder With Miswak 40 Gm                                                                , LE 45.00 ,               132, Eva smokers tooth powder helps to remove teeth stains and purifies mouth.                                                                                                                                                                                                                                                           ,            , Eva Smokers; Oral Care
Fluoro Kids Sparkle Gel Toothpaste With Strawberry Flavour 50 Gm                                                    , LE 27.00 ,                40, "Fluoro kids’ gel toothpaste, with Strawberry flavor and its attractive sparkling, is safe and gentle on your kids’ teeth. Fluoro’s unique formula, containing Vitamin E, Calcium and Fluoride, strengthens the teeth enamel and guards against teeth decay while protecting your child's gums."                                    , gel        , Fluoro; Oral Care
Fluoro Kids Toothpaste With Bubble Gum Flavour 50 Gm                                                                , LE 24.30 ,                40, "Fluoro kids’ gel toothpaste, with Bubble Gum flavor, safe and gentle on your kids’ teeth. Fluoro’s unique formula contains Vitamin E, Calcium and Fluoride which strengthens the teeth enamel and guards against teeth decay while protecting gums."                                                                               ,            , Fluoro; Oral Care
Fluoro Kids Sparkle Gel Toothpaste With watermelon Flavour 50 Gm                                                    , LE 27.00 ,                35, "Fluoro kids Sparkle Gel Toothpaste, with watermelon flavor and its attractive sparkling color, is safe and gentle on your kid’s teeth, and its unique formula which contains Vitamin E, Calcium and Fluoride, strengthens teeth enamel and guards against decay while protecting your child’s gums. Contains Sodium Monofluoroph"  , gel        , Fluoro; Oral Care
Fluoro Kids Toothpaste With Fruit Flavour 50 Gm                                                                     , LE 24.30 ,                38, "Fluoro kids’ gel toothpaste, with new fruits mix flavor, safe and gentle on your kids’ teeth. Fluoro’s unique formula contains Vitamin E, Calcium and Fluoride which strengthens the teeth enamel and guards against teeth decay while protecting gums."                                                                           ,            , Fluoro; Oral Care
Fluoro Kids Toothpaste With Cola Flavour 50 Gm                                                                      , LE 24.30 ,                39, "Fluoro kids’ gel toothpaste, with Cola flavor, safe and gentle on your kids’ teeth. Fluoro’s unique formula contains Vitamin E, Calcium and Fluoride which strengthens the teeth enamel and guards against teeth decay while protecting gums."                                                                                     ,            , Fluoro; Oral Care
Fluoro Kids Sparkle Gel Toothpaste With Blueberry Flavour 50 Gm                                                     , LE 27.00 ,                30, "Fluoro kids’ gel toothpaste, with Blueberry flavor and its attractive sparkling, is safe and gentle on your kids’ teeth. Fluoro’s unique formula, containing Vitamin E, Calcium and Fluoride, strengthens the teeth enamel and guards against teeth decay while protecting your child's gums."                                     , gel        , Fluoro; Oral Care
Fluoro Kids Toothpaste With Chocolate Flavour 50 Gm                                                                 , LE 24.30 ,                 0, "Fluoro kids’ gel toothpaste, with Chocolate flavor, safe and gentle on your kids’ teeth. Fluoro’s unique formula, containing Vitamin E, Calcium and Fluoride, strengthens the teeth enamel and guards against teeth decay while protecting gums."                                                                                  ,            , Fluoro; Oral Care
Jolieva Facial & Body Hair Bleaching Cream                                                                          , LE 70.00 ,                 0, "Lighten those stubborn hairs with Jolieva’s safe and effective bleaching formula. Simply mix the activator with the bleach to create a fast acting, gentle mixture that will lighten hair and blend it with your natural skin tone. Cream: 40 g - Powder: 13 g"                                                                    , cream      , Body Care; Face & Body Care; Facial Care; Jolli Eva
Eva Skin Care Senses Lip Balm Sweet Cherry 4 Gm                                                                     , LE 63.00 ,                75, "Eva Skin Care Senses Moisturizing Lip Balm, is your everyday long-lasting solution for moisturizing dry or cracked lips. An emollient three-layered blend of Petroleum Jelly, Cocoa Butter and Shea Butter partnered with Vitamin E retains moisture and softens your dry lips making them glimmer and glow. It is also empowere"  ,            , Eva Skin Care; Face & Body Care; Facial Care; Skin Care Senses
Eva Skin Care Senses Lip Balm Wild Raspberry 4 Gm                                                                   , LE 63.00 ,               223, "Eva Skin Care Senses Moisturizing Lip Balm, is your everyday long-lasting solution for moisturizing dry or cracked lips. An emollient three-layered blend of Petroleum Jelly, Cocoa Butter and Shea Butter partnered with Vitamin E retains moisture and softens your dry lips making them glimmer and glow. It is also empowere"  ,            , Eva Skin Care; Face & Body Care; Facial Care; Skin Care Senses
Eva Skin Care Senses Exfoliating Lip Scrub Wild Raspberry Flavored 20 Ml                                            , LE 63.00 ,                 0, "Eva Skin Care Exfoliating Lip Scrub, enriched with fine sugar particles, gently removes dead skin from dry or cracked lips. With its special formula consisting of a three-layered blend of Cocoa Butter, Shea Butter and Coconut Oil partnered with Vitamin E, the lip scrub achieves a superior moisturizing effect leaving th"  ,            , Eva Skin Care; Face & Body Care; Facial Care; Skin Care Senses
Eva Skin Care Micellar Cleansing Water With Vitamins 7 In 1 For All Skin Types 110 Ml                               , LE 72.00 ,                34, 1- Removes makeup2- Helps to protect skin from pollution3- Helps to remove excess oil4- Evens skin tone5- Helps to make pores look smaller6- Maintains softness and elasticity7- Helps to protect the skin from oxidation                                                                                                           ,            , Eva Skin Care; Face & Body Care; Facial Care
Eva Skin Care Senses Lip Balm Fresh Watermelon 4 Gm                                                                 , LE 63.00 ,               132, "Eva Skin Care Senses Moisturizing Lip Balm, is your everyday long-lasting solution for moisturizing dry or cracked lips. An emollient three-layered blend of Petroleum Jelly, Cocoa Butter and Shea Butter partnered with Vitamin E retains moisture and softens your dry lips making them glimmer and glow. It is also empowere"  ,            , Eva Skin Care; Face & Body Care; Facial Care; Skin Care Senses
Eva Skin Care Facial Wash And Make-Up Remover Enriched With Milk Proteins For All Skin Types 150 Ml                 , LE 63.00 ,                28, "Eva Facial Wash &amp; Make-up Remover is enriched with Milk Proteins to best suit your skin. Milk Proteins form a moisturizing film on the skin's surface, while cleansing it, to allow it retain its moisture; in addition to the nourishment, glow and smoothness that the skin enjoys."                                         ,            , Eva Skin Care; Face & Body Care; Facial Care
"Eva Skin Care Soft Moisturizing Cream with Aloe Vera, Panthenol & Vitamin E 50 Gm"                                 , LE 27.00 ,                12, "Use Eva Skin Care Soft Cream with Aloe Vera, Panthenol &amp; Vitamin E with its unique blend to moisturize and soothes your skin. Unravel the secrets of your well being with Eva's natural active inghredients that suit your daily skin needs."                                                                                  , cream      , Eva Skin Care; Face & Body Care; Facial Care
"Eva Skin Care Glycerin Soap Enriched With Honey For All Skin Types, Even Sensitive 100 Gm"                         , LE 36.00 ,               103, "This gentle soap is fragrance free and very suitable for sensitive and acne prone skin. It is rich in natural oils, cleansing the skin from any residues that could cause clogging of pores while deeply nourishing and moisturizing the skin."                                                                                    ,            , Eva Skin Care; Face & Body Care; Facial Care
"Eva Skin Care Soft Moisturizing Cream with Aloe Vera, Panthenol & Vitamin E 20 Gm"                                 , LE 12.60 ,                18, "Use Eva Skin Care Soft Cream with Aloe Vera, Panthenol &amp; Vitamin E with its unique blend to moisturize and soothes your skin. Unravel the secrets of your well being with Eva's natural active inghredients that suit your daily skin needs."                                                                                  , cream      , Eva Skin Care; Face & Body Care; Facial Care
Eva Skin Care Rose Water Face Tonic 100 Ml                                                                          , LE 36.00 ,                25, - Enhances radiance and vitality of the skin. - Minimizes the appearance of pores. - Restores the natural balance of the skin leaving it glowing and fresh.                                                                                                                                                                         ,            , Eva Skin Care; Face & Body Care; Facial Care
Eva Skin Care Senses Lip Balm Vanilla Coconut 4 Gm                                                                  , LE 63.00 ,               129, "Eva Skin Care Senses Moisturizing Lip Balm, is your everyday long-lasting solution for moisturizing dry or cracked lips. An emollient three-layered blend of Petroleum Jelly, Cocoa Butter and Shea Butter partnered with Vitamin E retains moisture and softens your dry lips making them glimmer and glow. It is also empowere"  ,            , Eva Skin Care; Face & Body Care; Facial Care; Skin Care Senses
"Eva Skin Care Soft Moisturizing Cream with Aloe Vera, Panthenol & Vitamin E 170 Gm"                                , LE 54.00 ,                 0, "Use Eva Skin Care Soft Cream with Aloe Vera, Panthenol &amp; Vitamin E with its unique blend to moisturize and soothes your skin. Unravel the secrets of your well being with Eva's natural active inghredients that suit your daily skin needs."                                                                                  , cream      , Eva Skin Care; Face & Body Care; Facial Care
Eva Skin Care Facial Wash And Make-Up Remover Enriched With Glycerin For Dry Skin 150 Ml                            , LE 63.00 ,                32, Eva Facial Wash &amp; Make-up Remover is enriched with Glycerin to best suit your dry skin. Glycerin provides just the right amount of moisture required to hydrate the dry skin and restore moisture that skin loses.                                                                                                              ,            , Eva Skin Care; Face & Body Care; Facial Care
Eva Skin Care Facial Wash And Make-Up Remover Enriched With Yoghurt And Cucumber For Oily Skin 150 Ml               , LE 63.00 ,                47, "Eva Facial Wash &amp; Make-up Remover is enriched with Yoghurt &amp; Cucumber to best suit your oily skin. Yoghurt is known by its capabilities to moisturize and revitalize the skin. As for the Cucumber, it has a refreshing effect on the skin. This natural blend revives your skin, balances its moisture level, and thus"   , oil        , Eva Skin Care; Face & Body Care; Facial Care
Eva Skin Care Facial Cream With Vitamins 7 In 1 For All Skin Types 45 Gm                                            , LE 54.00 ,               211, "Its rich formula, that contains essential Vitamins like B3, B5, C and E, nourishes your skin by: 1. Providing intensive moisturization 2. Giving your skin a youthful look 3. Minimizing the appearance of pores 4. Restoring skin’s softness 5. Improving skin’s elasticity and firmness 6. Providing glowing and pure skin 7."   , cream      , Eva Skin Care; Face & Body Care; Facial Care
Eva Skin Care Glycerin Soap For Dry And Sensitive Skin 120 Gm                                                       , LE 40.50 ,                47, "Eva Skin Care Glycerin Soap, with its unique formula for dry skin, is enriched with the highest quality of natural oils and is fragrance free. This gentle transparent soap cleanses the face and body and helps to eliminate residues that may cause pores clogging. It also deeply nourishes and moisturizes the skin leaving"   ,            , Eva Skin Care; Face & Body Care; Facial Care
Eva Skin Care Exfoliating Facial Wash Enriched With Honey For All Skin Types 150 Ml                                 , LE 67.50 ,                47, "Eva Exfoliating Facial Wash is a mild soap-free scrub, uniquely formulated with Honey to effectively cleanse your skin. The exfoliating particles will scrub your skin deep down to the pores and the Honey will rejuvenate and provide the needed balance to leave it radiant and soft without causing any dryness."              ,            , Eva Skin Care; Face & Body Care; Facial Care
Eva Skin Care Facial Wipes For Cleansing & Makeup Removal For Oily / Combination Skin ( 25 Wipes)                   , LE 54.00 ,                37, "EVA Skin Care Facial Wipes for cleansing &amp; makeup removal effectively and deeply cleanse your skin after a long day keeping it fresh and soft. Eva facial wipes gently cleanse your face from dirt and impurities, effectively remove makeup, even waterproof mascara, as well as removing excess oil, thus leaving your ski"  , oil        , Eva Skin Care; Face & Body Care; Facial Care
Eva Skin Care Facial Wipes For Cleansing & Makeup Removal For Normal / Dry Skin ( 25 Wipes)                         , LE 54.00 ,                39, "Eva Skin Care Facial Wipes for cleansing &amp; makeup removal effectively and deeply cleanse your skin after a long day keeping it fresh and soft. Eva facial wipes gently cleanse your face from dirt and impurities, effectively remove makeup, even waterproof mascara, while providing deep moisturization to your skin."      ,            , Eva Skin Care; Face & Body Care; Facial Care
"Eva Skin Care Exfoliating Glycerin Soap Enriched With Loofah For All Skin Types, Even Sensitive 120 Gm"            , LE 45.00 ,                13, "Eva Skin Care Exfoliating Glycerin Soap for all skin types, even sensitive. Eva Skin Care Glycerin Soap enriched with loofah, has a unique formula for all skin types that contains the highest quality of natural oils and is fragrance free. This gentle transparent soap cleanses the face and body and helps to eliminate re"  ,            , Eva Skin Care; Face & Body Care; Facial Care
Eva Skin Care Glycerin Soap Enriched With Lemon For Oily / Sensitive Skin 120 Gm                                    , LE 40.50 ,                36, "Eva Skin Care Glycerin Soap with Lemon, with its unique formula for oily skin, is enriched with the highest quality of natural oils and is fragrance free. This gentle transparent soap cleanses the face and body and helps to eliminate residues that may cause pores clogging. It also deeply nourishes and moisturizes the s"  , oil        , Eva Skin Care; Face & Body Care; Facial Care
Eva Spotless Face Cream 18 Gm                                                                                       , LE 22.50 ,                36, "- Spotless Face Cream works by gently removing the skin’s top layer of dead skin cells and unclogging the pores. This action treats existing problems and prevents their recurrence. - Spotless Face Cream has non-greasy, easily absorbable formula that is gentle on the face."                                                  , cream      , Eva Spotless; Face & Body Care; Facial Care
Eva Spotless Cleansing Bar 60 Gm                                                                                    , LE 54.00 ,                37, "- Deeply cleanses the face, effectively eliminating extra oils and impurities, restoring the skin’s natural pH. - Spotless Cleansing Bar does not leave residue on the skin, like other cosmetic soaps. - Spotless Cleansing Bar cleanses the skin without creating foam."                                                         ,            , Eva Spotless; Face & Body Care; Facial Care
Eva Skin Clinic White Pearl Sheet Mask ( 3 Sheet Masks )                                                            , LE 90.00 ,                 0, "Why Eva Skin Clinic White Pearl Sheet Mask? Eva Skin Clinic White Pearl Sheet Mask, with its unique formula, provides your skin with exceptional glow while evening its tone with a delicate touch of white pearl. It provides visible effect while creating an utmost sense of relaxation. 360 Degrees Whitening Effect 1) Whit"  ,            , Face & Body Care; Facial Care; Sheet Mask
Eva Skin Clinic Hyaluronic Sheet Mask ( 3 Sheet Masks )                                                             , LE 90.00 ,                 0, "Why Eva Skin Clinic Hyaluronic Sheet Mask? Eva Skin Clinic Hyaluronic Sheet Mask, with its unique formula, fills the skin with ultimate hydration, bounce and quench and leaving it moisturized and plumped-up. It provides visible effect while creating an utmost sense of relaxation. Hydro-Filling Technology 1) Filling &am"  ,            , Face & Body Care; Facial Care; Sheet Mask
Eva Skin Clinic Collagen Sheet Mask ( 3 Sheet Masks )                                                               , LE 90.00 ,                 0, "Why Eva Skin Clinic Collagen Sheet Mask? Eva Skin Clinic Collagen Sheet Mask, with its 3D breakthrough formula, gives you tighter, smoother and natural-looking skin, leaving it firm and refreshed with a younger look. It provides visible effect while creating an utmost sense of relaxation. 3D EFFECT 1) Skin Moisturizati"  ,            , Face & Body Care; Facial Care; Sheet Mask
Eva Skin Clinic Charcoal Sheet Mask ( 3 Sheet Masks )                                                               , LE 90.00 ,                 5, "Why Eva Skin Clinic Charcoal Sheet Mask? Eva Skin Clinic Charcoal Sheet Mask, with its unique formula, detoxifies your skin and reduces pores appearance, leaving it smooth and bright. It provides visible effect while creating an utmost sense of relaxation. Charcoal Technology Effect 1) Charcoal and Lactic Acid: Provide"  ,            , Face & Body Care; Facial Care; Sheet Mask
Aloe Eva Body Deodorant Powder With Aloe Vera 70 Gm                                                                 , LE 45.00 ,                 0, "With its special formula, Aloe Eva Body Deodorant Powder absorbs excess perspiration and removes bad odor. Rich in menthol and other unique components which keep you fresh all day long."                                                                                                                                         ,            , Aloe Eva; Body Care; Face & Body Care
Eva Skin Care Senses Body Splash In The Clouds 240 Ml                                                               , LE 198.00,               668, "The popular woman’s fragrance. Elegantly fresh with a slightly sweet note, this fragrance recreates the sparkling moment when *she* walks in the room. Fragrance notes: cashmeran, musk, jasmine, apple and blackcurrant."                                                                                                         , body splash, Body Care; Face & Body Care; Skin Care Senses
Eva Skin Care Senses Body Splash Gold Spell 240 Ml                                                                  , LE 198.00,               913, "The elegant woman’s fragrance. The classy combination of floral aromas with a dash of pear &amp; sweet praline is beautiful and bright. Designed to recreate the warmth of summer and coziness of autumn. Fragrance notes: white magnolia, praline, pear, tonka bean and caramel. Fragrance notes: white magnolia, praline, pear"  , body splash, Body Care; Face & Body Care; Skin Care Senses
Eva Recipe Lotion For Sensitive Skin Vanilla Scent 370 Ml                                                           , LE 157.50,                62, "Eva Optimum Care Recipe adabts your skin to a new healthier topical nutrient with a delightfully scented experience. This Soothing Blend is thoughtfully formulated to calm skin itching sensation and to supply smoothness,thus providing comfort to the sensitive skin and leaving it delivately scented with vanilla fragranc"  , cream      , Body Care; Eva Recipe; Face & Body Care
Eva Skin Care Senses Body Splash Cozy Dream 240 Ml                                                                  , LE 198.00,               767, "The glowing girl’s fragrance. Captivating and addictive, this sweet treat captures the perfection of sunrise to sunset. A glowing blend of coconut vanilla and sparkling cherry. Fragrance notes: coconut, vanilla, cherry, sandalwood and rose."                                                                                  , body splash, Body Care; Face & Body Care; Skin Care Senses
Eva Skin Care Senses Body Splash Summer Twist 240 Ml                                                                , LE 198.00,               553, "The girly girl’s fragrance. The sparkling red fruits with a creamy combination of sugary and fluffy scents is feminine, playful and youthful. Fragrance notes: red fruits, pineapple, rose, amber and vanilla."                                                                                                                    , body splash, Body Care; Face & Body Care; Skin Care Senses
Eva Skin Care Senses Body Lotion In The Clouds 240 Ml                                                               , LE 108.00,               168, "Eva Skin Care Body Lotion Senses for effective moisturization with its special care provides your skin with silky, smooth and luxurious feel. Petroleum Jelly softens and smoothes the skin. It also helps to decrease moisture loss and helps to protect against dryness. In addition, Glycerin helps skin to retain moisture."   , cream      , Body Care; Face & Body Care; Skin Care Senses
Eva Skin Care Senses Body Lotion Gold Spell 240 Ml                                                                  , LE 108.00,               126, "Eva Skin Care Body Lotion Senses for effective moisturization with its special care provides your skin with silky, smooth and luxurious feel. Petroleum Jelly softens and smoothes the skin. It also helps to decrease moisture loss and helps to protect against dryness. In addition, Glycerin helps skin to retain moisture."   , cream      , Body Care; Face & Body Care; Skin Care Senses
Eva Recipe Lotion For Normal Skin Marshmallow Scent 370 Ml                                                          , LE 157.50,                57, "Eva Optimum Care Recipe adabts your skin to a new healthier topical nutrient with a delightfully scented experience. This Radiance Blend is thoughtfully formulated to indulge the skin with restored softness, tonicity and delicately scented with Marshmallow fragrance. Enriched with Vitamin C, Marshamllow Extract and lig"  , cream      , Body Care; Eva Recipe; Face & Body Care
Eva Skin Care Senses Body Lotion Summer Twist 240 Ml                                                                , LE 108.00,               133, "Eva Skin Care Body Lotion Senses for effective moisturization with its special care provides your skin with silky, smooth and luxurious feel. Petroleum Jelly softens and smoothes the skin. It also helps to decrease moisture loss and helps to protect against dryness. In addition, Glycerin helps skin to retain moisture."   , cream      , Body Care; Face & Body Care; Skin Care Senses
Eva Recipe Shower Cream For Sensitive Skin Vanilla Scent 370 Ml                                                     , LE 117.00,                38, Eva Optimum Care Recipe adapts your skin to a new healthier topical nutrient with a delightfully scented experience. This Serenity Blend develops a delicate foam that cleanses the skin without drying it out and submerges it with a Vanilla pleasant scent. It also wraps the skin in a comforting layer of nourishment and s    , cream      , Body Care; Eva Recipe; Face & Body Care
Eva Skin Care Senses Body Splash Red Glamour 240 Ml                                                                 , LE 198.00,               546, "Opens with the fresh and tangy smell that adds a touch of warmth and sensuality to the overall scent. Fragrance notes: Mandarin, Vanilla, Jasmine, blackcurrant and Malton Flower."                                                                                                                                                , body splash, Body Care; Face & Body Care; Skin Care Senses
Eva Recipe Hydrating Blend Lotion For Normal Skin Berries Scent 370 Ml                                              , LE 157.50,                63, "Eva Optimum Care Recipe adabts your skin to a new healthier topical nutrient with a delightfully scented experience. This Hydrating Blend is thoughtfully formulated to quench the skin's thirst, thus leaving it feeling hydrated, smooth and delicately scented with Berries scent. Enriched with Hyaluronic acid, Jojoba oil"   , cream      , Body Care; Eva Recipe; Face & Body Care
Eva Skin Care Evasiline Body Lotion Passion 240 Ml                                                                  , LE 108.00,                51, "Eva Skin Care Body Lotion, with its special care, provides your skin with silky, smooth and luxurious feel. Its deep formula, enriched with moisturizing ingredients, works as ""water magnet"" that binds with water molecules and holds them in the skin cells. Vaseline softens and smoothes the skin. It also prevents moistur", cream      , Body Care; Eva Skin Care; Face & Body Care; Skin Care Senses
Eva Skin Care Senses Body Splash Night Out 240 Ml                                                                   , LE 198.00,               263, "Daring yet sophisticated; feminine yet bold; An embodiment of this femme-fatale energy ; Night out ’s seductive aroma envelops the wearer in a scent that awakens and entices the senses. Fragrance notes: Bergamot, Vanilla, Musk, Floral citrus, Fresh Fruity."                                                                  , body splash, Body Care; Face & Body Care; Skin Care Senses
Eva Recipe Glowing Blend Shower Cream For Normal Skin Marshmallow Scent 370 Ml                                      , LE 117.00,                39, "Eva Optimum Care Recipe adapts your skin to a new healthier topical nutrient with a delightfully scented experience. This Glowing Blend develops a delicate foam that cleanses the skin without drying it out and submerges it with a Marshmallow pleasant scent. It also provides indulging skin hydration and freshness, thus"   , cream      , Body Care; Eva Recipe; Face & Body Care
Eva Skin Care Evasiline Hand Cream Passion 60 Ml                                                                    , LE 58.50 ,                 4, Eva Skin Care Hand Cream is the best friend for dry skin. Its rich formula with Vitamins and moisture burst acts by sealing moisture in and keeping dryness out. Vaseline and Glycerin continuously work together to keep the skin's moisturization giving you extreme softness. Pamper your hands with Eva Skin Care Hand Cream    , cream      , Body Care; Eva Skin Care; Face & Body Care; Skin Care Senses
Eva Recipe Lotion For Dry Skin Peach Scent 370 Ml                                                                   , LE 157.50,                44, "Eva Optimum Care Recipe adabts your skin to a new healthier topical nutrient with a delightfully scented experience. This Revival Blend is thoughtfully formulated to relieve dry skin roughness and cracking, thus restoring its integrity, smoothness and leaving it delicately scented with Peach fragrance. Enriched with Ar"  , cream      , Body Care; Eva Recipe; Face & Body Care
Eva Skin Care Senses Shower Cream In The Clouds 250 Ml                                                              , LE 90.00 ,               120, "After a long and stressful day, pamper your skin with Eva Skin Care Shower Cream Senses that offers a luxurious experience, which will leave your skin clean and extremely silky. Its rich formula with Milk Proteins forms a rich lather that gently cleanses, deeply nourishes and effectively softens your skin with a long-l"  , cream      , Body Care; Face & Body Care; Skin Care Senses
Eva Recipe Lotion For Normal Skin Coconut Scent 370 Ml                                                              , LE 157.50,                43, "Eva Optimum Care Recipe adabts your skin to a new healthier topical nutrient with a delightfully scented experience. This Nourishing Blend is thoughtfully formulated to enhance the skin suppleness and smoothness while leaving it delicately scented with coconut fragrance. Enriched with Coconut oil, Vitamin E and Almond"   , cream      , Body Care; Eva Recipe; Face & Body Care
