name of product                                                                                                     , price    , how many in stock, description                                                                                                                                                                                                                                                                                                                         , type       , features
Man Look Hair Gel Spiky Look 250 Gm ( Special Offer )                                                               , LE 40.50 ,                21, "ManLook Gel is especially fromulated to give you a unique Spiky look. The ManLook formula is alcohol-free, anti-damage and enriched with Aloe Vera &amp; Glycerin for healthy hair and superb look."                                                                                                                               , gel        , Male Grooming; Man Look
Man look After Shave Balsam With Allantoin For All Skin Types 125 Gm ( Special Offer )                              , LE 72.00 ,                45, - Rich with Allantoin which imparts soothing and moisturizing effects. - Contains Salicylic Acid and Tea Tree Oil which promote healthy-looking skin after shaving.                                                                                                                                                                 , shaving    , Male Grooming; Man Look
Man Look Shaving Cream With Mint 80 Gm ( Special Offer )                                                            , LE 45.00 ,                51, "Man Look softens the hair and moisturizes the skin, with its rich concentrated lather, to give you a smooth and easy shave with no irritation to the skin."                                                                                                                                                                        , shaving    , Male Grooming; Man Look
Man Look Shaving Cream With mint 40 Gm ( Special Offer )                                                            , LE 27.00 ,                35, "Man Look softens the hair and moisturizes the skin, with its rich concentrated lather, to give you a smooth and easy shave with no irritation to the skin."                                                                                                                                                                        , shaving    , Male Grooming; Man Look
Man Look Shaving Cream With Aloe Vera 80 Gm ( Special Offer )                                                       , LE 45.00 ,                49, Man Look softens the hair and moisturizes the skin with its rich concentrated lather to give you a smooth shave with no irritation to the skin.                                                                                                                                                                                     , shaving    , Male Grooming; Man Look
Man Look Shaving Cream With Allantoin 90 Gm ( Special Offer )                                                       , LE 45.00 ,                 0, Man Look softens the hair and moisturizes the skin with its rich concentrated lather to give you a smooth shave with no irritation to the skin.                                                                                                                                                                                     , shaving    , Male Grooming; Man Look
Eva Clinic Bebe Shower Cream 200 Ml                                                                                 , LE 90.00 ,                44, This innovative formula that contains natural oils provides yourbaby’s skin with the ultimate care and protection. It keeps skin soft and healthy through its Complete Care Action (CCA). CLEANSING: Soap-free formula with natural oils for a gentle cleansing of the skin without causing any dryness. HYDRATION: Almond Oil a    , cream      , Baby Care; Eva Skin Clinic Bebe
Eva Clinic Bebe Toddler Shampoo (12 - 36 Months) 200 Ml                                                             , LE 90.00 ,                47, "This exclusive Complete Care Action (CCA) system protects yourbaby’s hair from root to tip to keep it hydrated, soft, and strong GENTLE CLEANSING: Soap-free formula for a gentle cleansing of hair and scalp without drying out the skin. NOURISHMENT: Honey and ProVitamin B5 powered nourishment for a soft hair and a health"  ,            , Baby Care; Eva Skin Clinic Bebe
Eva Clinic Bebe Lotion 200 Ml                                                                                       , LE 135.00,                38, "This innovative formula that contains natural oils provides your baby’s skin with the ultimate care and protection. It keeps skin softand healthy through its Complete Care Action (CCA). HYDRATION: Argan Oil and Olive Oil intelligently moisturize and nourish skin, leaving it soft and smooth for a prolonged time. SKIN PR"  , cream      , Baby Care; Eva Skin Clinic Bebe
Eva Clinic Bebe Shampoo (0 - 12 Months) 200 Ml                                                                      , LE 90.00 ,                47, "This exclusive Complete Care Action (CCA) system protects your baby’s hair from root to tip to keep it hydrated, soft, and strong. GENTLE CLEANSING: Soap-free formula for a gentle cleansing of hair and scalp without drying out the skin. HYDRATION: Chamomile Extract &amp; Honey moisturize and soften hair without causing"  ,            , Baby Care; Eva Skin Clinic Bebe
